2025-01-20 20:00:58,817 INFO    StreamThr :2117834 [internal.py:wandb_internal():85] W&B internal server running at pid: 2117834, started at: 2025-01-20 20:00:58.811122
2025-01-20 20:00:58,818 DEBUG   HandlerThread:2117834 [handler.py:handle_request():158] handle_request: status
2025-01-20 20:00:58,854 INFO    WriterThread:2117834 [datastore.py:open_for_write():87] open: /n/home05/sqin/self-correct/sudoku/wandb/run-20250120_200058-oa5t2s6i/run-oa5t2s6i.wandb
2025-01-20 20:00:58,859 DEBUG   SenderThread:2117834 [sender.py:send():379] send: header
2025-01-20 20:00:58,859 DEBUG   SenderThread:2117834 [sender.py:send():379] send: run
2025-01-20 20:00:59,233 INFO    SenderThread:2117834 [dir_watcher.py:__init__():211] watching files in: /n/home05/sqin/self-correct/sudoku/wandb/run-20250120_200058-oa5t2s6i/files
2025-01-20 20:00:59,234 INFO    SenderThread:2117834 [sender.py:_start_run_threads():1188] run started: oa5t2s6i with start time 1737421258.812313
2025-01-20 20:00:59,272 DEBUG   HandlerThread:2117834 [handler.py:handle_request():158] handle_request: check_version
2025-01-20 20:00:59,272 DEBUG   SenderThread:2117834 [sender.py:send_request():406] send_request: check_version
2025-01-20 20:00:59,352 DEBUG   HandlerThread:2117834 [handler.py:handle_request():158] handle_request: run_start
2025-01-20 20:00:59,417 DEBUG   HandlerThread:2117834 [system_info.py:__init__():26] System info init
2025-01-20 20:00:59,417 DEBUG   HandlerThread:2117834 [system_info.py:__init__():41] System info init done
2025-01-20 20:00:59,417 INFO    HandlerThread:2117834 [system_monitor.py:start():194] Starting system monitor
2025-01-20 20:00:59,417 INFO    SystemMonitor:2117834 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-01-20 20:00:59,417 INFO    HandlerThread:2117834 [system_monitor.py:probe():214] Collecting system info
2025-01-20 20:00:59,418 INFO    SystemMonitor:2117834 [interfaces.py:start():188] Started cpu monitoring
2025-01-20 20:00:59,418 INFO    SystemMonitor:2117834 [interfaces.py:start():188] Started disk monitoring
2025-01-20 20:00:59,418 INFO    SystemMonitor:2117834 [interfaces.py:start():188] Started gpu monitoring
